Used 2021 Nissan, Rogue SV AWD, $18,899, Great Price, 88,316 miles, 
Used 2021 Nissan, Rogue SL FWD, $18,100, Excellent Price, 94,140 miles, 
Used 2021 Nissan, Maxima Platinum, $26,476, Excellent Price, 30,109 miles, 
Used 2021 Nissan, Sentra S CVT, $17,998, Great Price, 39,779 miles, 
Used 2021 Nissan, Rogue SV AWD, $18,899, Great Price, 88,316 miles, 
Used 2021 Nissan, Versa SV CVT, $15,995, Great Price, 39,000 miles, 
Used 2021 Nissan, Titan SV Crew Cab 4WD, $29,998, Great Price, 79,149 miles, 
Used 2021 Nissan, Kicks SR, $19,998, Great Price, 23,667 miles, 
Used 2021 Nissan, Rogue SV FWD, $21,000, Great Price, 57,028 miles, 
Used 2021 Nissan, Titan PRO-4X Crew Cab 4WD, $36,915, Great Price, 40,205 miles, 
Used 2021 Nissan, Frontier SV Crew Cab 4WD, $24,000, Fair Price, 66,405 miles, 
Used 2021 Nissan, Altima 2.5 SV FWD, $15,700, Excellent Price, 80,999 miles, 
Used 2021 Nissan, Rogue Sport SL AWD, $23,449, Fair Price, 25,180 miles, 
Used 2021 Nissan, Sentra SV CVT, $16,990, Fair Price, 59,884 miles, 
Used 2021 Nissan, Rogue SV FWD, $20,095, Fair Price, 79,867 miles, 
Used 2021 Nissan, Titan SV Crew Cab 4WD, $26,059, Great Price, 91,470 miles, 
Used 2021 Nissan, Kicks SV, $16,950, Fair Price, 61,746 miles, 
Used 2021 Nissan, Maxima Platinum, $29,998, Great Price, 27,213 miles, 
Used 2021 Nissan, Rogue SV AWD, $21,800, Great Price, 47,908 miles, 
Used 2021 Nissan, Rogue SV FWD, $19,500, Fair Price, 73,610 miles, 
Used 2021 Nissan, Rogue Sport SV FWD, $20,998, High Price, 36,461 miles, 
Used 2021 Nissan, Titan PRO-4X Crew Cab 4WD, $42,998, Fair Price, 24,461 miles, 
Used 2021 Nissan, Rogue SL FWD, $25,500, Great Price, 21,314 miles, 
Used 2021 Nissan, Sentra SV CVT, $17,550, Excellent Price, 61,134 miles, 
Used 2021 Nissan, Rogue S AWD, $18,750, High Price, 82,125 miles, 
Used 2021 Nissan, Rogue SV FWD, $22,150, High Price, 53,197 miles, 
Used 2021 Nissan, Altima 2.5 Platinum AWD, $21,000, Excellent Price, 62,585 miles, 
Used 2021 Nissan, Titan SV Crew Cab 2WD, $27,461, Excellent Price, 47,823 miles, 
Used 2021 Nissan, Rogue SV FWD, $16,995, Excellent Price, 100,192 miles, 
Used 2021 Nissan, Armada SV 4WD, $23,770, Fair Price, 121,067 miles, 
Used 2021 Nissan, Rogue S AWD, $18,750, High Price, 82,125 miles, 
Used 2021 Nissan, Altima 2.5 Platinum AWD, $21,000, Excellent Price, 62,585 miles, 
Used 2021 Nissan, Rogue SV FWD, $22,150, High Price, 53,197 miles, 
Used 2021 Nissan, Armada SV 4WD, $23,770, Fair Price, 121,067 miles, 
Used 2021 Nissan, Rogue SV FWD, $19,488, Fair Price, 71,208 miles, 
Used 2021 Nissan, Rogue Sport S FWD, $20,995, Fair Price, 16,178 miles, 
Used 2021 Nissan, Kicks SV, $19,495, Fair Price, 24,237 miles, 
Used 2021 Nissan, Rogue S FWD, $18,995, Fair Price, 47,525 miles, 
Used 2021 Nissan, Altima 2.5 SV FWD, $19,998, Fair Price, 44,208 miles, 
Used 2021 Nissan, Rogue SL AWD, $27,995, Fair Price, 22,371 miles, 
Used 2021 Nissan, Rogue SV AWD, $23,988, Fair Price, 26,462 miles, 
Used 2021 Nissan, Sentra SV CVT, $16,588, Great Price, 59,406 miles, 
Used 2021 Nissan, Rogue SV FWD, $18,723, Great Price, 84,145 miles, 
Used 2021 Nissan, Rogue SV FWD, $21,500, Fair Price, 53,719 miles, 
Used 2021 Nissan, Rogue SV AWD, $23,109, High Price, 28,602 miles, 
Used 2021 Nissan, Kicks SV, $16,487, Fair Price, 65,383 miles, 
Used 2021 Nissan, Rogue SL FWD, $26,000, Fair Price, 23,387 miles, 
Used 2021 Nissan, Altima 2.0 SR FWD, $16,740, Great Price, 112,197 miles, 
Used 2021 Nissan, Rogue SV AWD, $24,999, High Price, 15,313 miles, 
Used 2021 Nissan, Titan SV Crew Cab 2WD, $30,900, High Price, 61,768 miles, 
Used 2021 Nissan, Altima 2.5 SR FWD, $16,995, Fair Price, 98,465 miles, 
Used 2021 Nissan, Rogue Sport S FWD, $19,980, Fair Price, 24,024 miles, 
Used 2021 Nissan, Rogue SV AWD, $22,881, High Price, 51,508 miles, 
Used 2021 Nissan, Titan PRO-4X Crew Cab 4WD, $33,298, High Price, 126,808 miles, 
Used 2021 Nissan, Rogue S AWD, $19,438, Fair Price, 74,796 miles, 
Used 2021 Nissan, Altima 2.5 SV FWD, $18,900, High Price, 74,418 miles, 
